"seq","genus_trusted","specific_epithet_trusted","country_trusted","county","state_province","urls"
9302,"Piper","divaricatum","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094905/TileGroup0/0-0-0.jpg']"
9313,"Piper","amplum","Brasil","Itabuna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094901/TileGroup0/0-0-0.jpg']"
9328,"Piper","amplum","Brasil","Ituberá","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM324320/TileGroup0/0-0-0.jpg']"
9344,"Peperomia","magnoliifolia","Brasil","Nova Viçosa","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM090841/TileGroup0/0-0-0.jpg']"
9354,"Piper","ilheusense","Brasil","Porto Seguro","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094893/TileGroup0/0-0-0.jpg']"
9366,"Piper","amplum","Brasil","Santa Cruz Cabrália","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM255274/TileGroup0/0-0-0.jpg']"
9364,"Piper","ilheusense","Brasil","Santa Cruz Cabrália","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094890/TileGroup0/0-0-0.jpg']"
19897,"Peperomia","glabella","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00104053/TileGroup0/0-0-0.jpg']"
19915,"Peperomia","magnoliifolia","Brasil","Almadina","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00169157/TileGroup0/0-0-0.jpg']"
19926,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00094715/TileGroup0/0-0-0.jpg']"
19934,"Peperomia","oreophila","Brasil","Rio de Contas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00079231/TileGroup0/0-0-0.jpg']"
21355,"Piper","ovatum","Brasil","Santa Terezinha","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0172759/TileGroup0/0-0-0.jpg']"
21367,"Peperomia","blanda","Brasil","Itaberaba","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0091945/TileGroup0/0-0-0.jpg']"
21416,"Peperomia","blanda","Brasil","Feira de Santana","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0120311/TileGroup0/0-0-0.jpg']"
21368,"Peperomia","tetraphylla","Brasil","Anguera","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0009585/TileGroup0/0-0-0.jpg']"
21433,"Peperomia","blanda","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0000073/TileGroup0/0-0-0.jpg']"
21439,"Peperomia","blanda","Brasil","Itaberaba","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0096030/TileGroup0/0-0-0.jpg']"
21432,"Peperomia","blanda","Brasil","Maracás","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0059671/TileGroup0/0-0-0.jpg']"
21438,"Peperomia","blanda","Brasil","Rui Barbosa","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0085530/TileGroup0/0-0-0.jpg']"
20495,"Piper","ilheusense","Brasil","Maraú","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00048618/TileGroup0/0-0-0.jpg']"
7472,"Piper","tuberculatum","Brasil","","Maranhão","['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC150036/TileGroup0/0-0-0.jpg']"
8224,"Piper","aduncum","Brasil","Maraú","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC149668/TileGroup0/0-0-0.jpg']"
9269,"Piper","ovatum","Brasil","Camamu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM332575/TileGroup0/0-0-0.jpg']"
8790,"Piper","amplum","Brasil","Porto Seguro","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM384341/TileGroup0/0-0-0.jpg']"
8855,"Piper","caldense","Brasil","Juassari","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM321091/TileGroup0/0-0-0.jpg']"
9300,"Piper","caldense","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094907/TileGroup0/0-0-0.jpg']"
9310,"Piper","amalago","Brasil","Itaberaba","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM162984/TileGroup0/0-0-0.jpg']"
9375,"Piper","ovatum","Brasil","Una","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM094904/TileGroup0/0-0-0.jpg']"
9358,"Piper","arboreum","Brasil","Prado","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM255275/TileGroup0/0-0-0.jpg']"
9356,"Piper","hispidum","Brasil","Prado","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM103274/TileGroup0/0-0-0.jpg']"
9367,"Piper","divaricatum","Brasil","Santo Amaro","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM162983/TileGroup0/0-0-0.jpg']"
9370,"Piper","divaricatum","Brasil","Ubaitaba","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM229798/TileGroup0/0-0-0.jpg']"
9382,"Piper","amplum","Brasil","Una","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM151509/TileGroup0/0-0-0.jpg']"
20002,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00048638/TileGroup0/0-0-0.jpg']"
36795,"Piper","arboreum","Brasil","Aurelino Leal Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00555846_01/TileGroup0/0-0-0.jpg']"
36802,"Piper","ovatum","Brasil","Porto Seguro Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00557110_01/TileGroup0/0-0-0.jpg']"
36805,"Piper","arboreum","Brasil","Ilhéus Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00555874_01/TileGroup0/0-0-0.jpg']"
36822,"Peperomia","obtusifolia","Brasil","Ilhéus Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00298260_01/TileGroup0/0-0-0.jpg']"
20298,"Piper","arboreum","Brasil","Jacobina","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00115895/TileGroup0/0-0-0.jpg']"
14066,"Piper","ovatum","Brasil","Itabuna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN015465_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN015465_R/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN015465/TileGroup0/0-0-0.jpg']"
19936,"Peperomia","oreophila","Brasil","Rio de Contas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00079234/TileGroup0/0-0-0.jpg']"
19831,"Peperomia","blanda","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00094718/TileGroup0/0-0-0.jpg']"
19822,"Peperomia","blanda","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00117210/TileGroup0/0-0-0.jpg']"
20767,"Piper","mollicomum","Brasil","Loreto","Maranhão","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00194323/TileGroup0/0-0-0.jpg']"
20195,"Piper","aduncum","Brasil","Rio de Contas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00082803/TileGroup0/0-0-0.jpg']"
20226,"Piper","amalago","Brasil","Ibicaraí","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00060917/TileGroup0/0-0-0.jpg']"
20315,"Piper","arboreum","Brasil","Arataca","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00234126/TileGroup0/0-0-0.jpg']"
20332,"Piper","caldense","Brasil","Camacan","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00171557/TileGroup0/0-0-0.jpg']"
20700,"Peperomia","sincorana","Brasil","Mucugê","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00018945/TileGroup0/0-0-0.jpg']"
20668,"Piper","caldense","Brasil","Arataca","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00177568/TileGroup0/0-0-0.jpg']"
20678,"Peperomia","blanda","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00120956/TileGroup0/0-0-0.jpg']"
20688,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00124030/TileGroup0/0-0-0.jpg']"
20311,"Piper","arboreum","Brasil","Floresta Azul","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00158774/TileGroup0/0-0-0.jpg']"
21489,"Peperomia","obtusifolia","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0158577/TileGroup0/0-0-0.jpg']"
21498,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0063745/TileGroup0/0-0-0.jpg']"
21501,"Peperomia","obtusifolia","Brasil","Ipiau","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0187361/TileGroup0/0-0-0.jpg']"
21567,"Peperomia","tetraphylla","Brasil","Piatã","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0012892/TileGroup0/0-0-0.jpg']"
21578,"Peperomia","tetraphylla","Brasil","Piatã","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0025006/TileGroup0/0-0-0.jpg']"
21593,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0068810/TileGroup0/0-0-0.jpg']"
21572,"Peperomia","tetraphylla","Brasil","Abaíra","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0017103/TileGroup0/0-0-0.jpg']"
21590,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0063977/TileGroup0/0-0-0.jpg']"
21751,"Piper","amplum","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0145422/TileGroup0/0-0-0.jpg']"
21747,"Piper","amalago","Brasil","Alagoa Nova","Paraíba","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0182630/TileGroup0/0-0-0.jpg']"
21766,"Piper","amplum","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0149837/TileGroup0/0-0-0.jpg']"
21781,"Piper","arboreum","Brasil","Itanhém","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0108972/TileGroup0/0-0-0.jpg']"
21791,"Piper","arboreum","Brasil","Crato","Ceará","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0167834/TileGroup0/0-0-0.jpg']"
21810,"Piper","arboreum","Brasil","Una","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0081119/TileGroup0/0-0-0.jpg']"
21823,"Piper","arboreum","Brasil","Rui Barbosa","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0084403/TileGroup0/0-0-0.jpg']"
21775,"Piper","amplum","Brasil","Wenceslau Guimarães","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0060061/TileGroup0/0-0-0.jpg']"
21819,"Piper","arboreum","Brasil","Andaraí","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0028270/TileGroup0/0-0-0.jpg']"
21827,"Piper","arboreum","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0179730/TileGroup0/0-0-0.jpg']"
21882,"Piper","dilatatum","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0081121_e1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0081121/TileGroup0/0-0-0.jpg']"
21920,"Piper","hispidum","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0050110/TileGroup0/0-0-0.jpg']"
21918,"Piper","hispidum","Brasil","Una","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0159148_e1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0159148/TileGroup0/0-0-0.jpg']"
21956,"Piper","mollicomum","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0145433/TileGroup0/0-0-0.jpg']"
21966,"Piper","ovatum","Brasil","Amargosa","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0116533/TileGroup0/0-0-0.jpg']"
22286,"Peperomia","tetraphylla","Brasil","Palmeiras","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0152268/TileGroup0/0-0-0.jpg']"
21967,"Piper","ovatum","Brasil","Ubaíra","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0140169/TileGroup0/0-0-0.jpg']"
22004,"Piper","tuberculatum","Brasil","Bananeiras","Paraíba","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0180010/TileGroup0/0-0-0.jpg']"
22013,"Piper","umbellatum","Brasil","Uruçuca","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0044920/TileGroup0/0-0-0.jpg']"
22190,"Piper","umbellatum","Brasil","Rio de Contas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0055834/TileGroup0/0-0-0.jpg']"
22238,"Peperomia","magnoliifolia","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0137527/TileGroup0/0-0-0.jpg']"
22268,"Peperomia","blanda","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0025965/TileGroup0/0-0-0.jpg']"
22283,"Peperomia","tetraphylla","Brasil","Palmeiras","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0152269/TileGroup0/0-0-0.jpg']"
22297,"Piper","arboreum","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0045106/TileGroup0/0-0-0.jpg']"
22329,"Piper","amalago","Brasil","Itagiba","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000009646/TileGroup0/0-0-0.jpg']"
24697,"Piper","tuberculatum","Brasil","Pau dos Ferros","Rio Grande do Norte","['https://storage.googleapis.com/cria-zoomify/herbaria/FLOR/FLOR0016994/TileGroup0/0-0-0.jpg']"
25520,"Piper","arboreum","Brasil","Aurélio Leal","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002502/TileGroup0/0-0-0.jpg']"
25517,"Peperomia","blanda","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002282_2/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002282_1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002282/TileGroup0/0-0-0.jpg']"
25597,"Peperomia","magnoliifolia","Brasil","Cairu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002317/TileGroup0/0-0-0.jpg']"
25608,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002335/TileGroup0/0-0-0.jpg']"
25612,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002330/TileGroup0/0-0-0.jpg']"
25663,"Peperomia","sincorana","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002396/TileGroup0/0-0-0.jpg']"
25610,"Peperomia","obtusifolia","Brasil","Arataca","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002325/TileGroup0/0-0-0.jpg']"
25613,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002332/TileGroup0/0-0-0.jpg']"
25662,"Peperomia","sincorana","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002407/TileGroup0/0-0-0.jpg']"
25687,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002418/TileGroup0/0-0-0.jpg']"
25678,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002414_1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002414/TileGroup0/0-0-0.jpg']"
25820,"Piper","amalago","Brasil","Cachoeira","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002649/TileGroup0/0-0-0.jpg']"
25822,"Piper","amalago","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002654/TileGroup0/0-0-0.jpg']"
25686,"Peperomia","tetraphylla","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002417/TileGroup0/0-0-0.jpg']"
25922,"Piper","dilatatum","Brasil","Ilhéus","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002554/TileGroup0/0-0-0.jpg']"
25951,"Piper","divaricatum","Brasil","Itanagra","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002568/TileGroup0/0-0-0.jpg']"
25688,"Peperomia","tetraphylla","Brasil","Palmeiras","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002416_4/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002416_3/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002416_2/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002416_1/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002416/TileGroup0/0-0-0.jpg']"
25788,"Piper","aduncum","Brasil","Salvador","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002482/TileGroup0/0-0-0.jpg']"
